"PUBLICATION_NUMBER","PUBLICATION_DATE","IPO_LOCATION","APPLICATION_TYPE_DESC","APPLICATION_NUMBER","DATE_OF_FILING","TITLE_OF_INVENTION","FIELD_OF_INVENTION","NO_OF_PAGES","NO_OF_CLAIMS","DATE_UPDATED_d_m_y"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3209/CHENP/2009","08/06/2009","PROCESS CARTRIDGE AND ELECTROPHOTOGRAPHIC IMAGE FORMING APPARATUS","PHYSICS","110","16","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3241/DELNP/2007","30/04/2007","NUCLEOPHOSMIN PROTEIN (NPM) MUTANTS, CORRESPONDING GENE SEQUENCES AND USES THEREOF","BIOCHEMISTRY","93","71","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3247/DELNP/2009","19/05/2009","""OPTIMIZED NON-CANONICAL ZINC FINGER PROTEINS""","BIOTECHNOLOGY","219","34","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3338/DELNP/2010","12/05/2010","""AN IMPROVED PROCESS FOR THE PRODUCTION OF ALCOHOL FROM A CARBONACEOUS FEEDSTOCK""","CHEMISTRY","33","10","19/04/2023"
"28/2017","14/07/2017","Kolkata","CONVENTION APPLICATION","336/KOL/2009","20/02/2009","MODULAR EXHAUST GAS RECIRCULATION COOLING FOR INTERNAL COMBUSTION ENGINES","MECHANICAL","36","20","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3419/CHENP/2009","15/06/2009","PROCESS FOR PREPARING ALKYL METHACRYLATES BY AZEOTROPIC DISTILLATION","CHEMISTRY","66","20","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3420/KOLNP/2011","12/08/2011","CASTING RESIN SYSTEM FOR INSULATORS WITH INCREASED HEAT DISTORATION RESISTANCE","POLYMER","14","9","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3512/CHENP/2009","18/06/2009","PHARMACEUTICAL COMPOSITION FOR TREATING INFLAMMATION","CHEMISTRY","35","26","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3550/CHENP/2008","09/07/2008","PROCESS AND DEVICE FOR CONTROLLING AN INTERNAL COMBUSTION ENGINE","MECHANICAL","13","5","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3554/DELNP/2007","11/05/2007","METHOD AND APPARATUS FOR TRANSMITTING AND RECEIVING UPLINK PACKET DATA IN A MOBILE COMMUNICATION SYSTEM","ELECTRONICS","38","40","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3589/KOLNP/2008","03/09/2008","SYSTEM FOR PRODUCING AROMATIC MOLECULES BY BIOCONVERSION","BIOTECHNOLOGY","43","18","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3603/KOLNP/2009","15/10/2009","FLASKLESS MOLDING MACHINE","METALLURGY","28","8","19/04/2023"
"28/2017","14/07/2017","Kolkata","ORDINARY APPLICATION","370/CAL/2001","06/07/2001","A SYSTEM FOR ERROR PROTECTED TRANSMISSTION AND RECEPTION OF DATA","ELECTRONICS","20","3","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","372/KOLNP/2010","29/01/2010","APPARATUS FOR CONTROLLING A MOTOR-DRIVEN SWITCH DRIVE FOR A SWITCHING DEVICE WITH AN INTEGRATED CONTROL UNIT","ELECTRICAL","48","19","19/04/2023"
"28/2017","14/07/2017","Delhi","CONVENTION APPLICATION","374/DEL/2011","14/02/2011","""CONTACT SWITCH STRUCTURE AND ELECTROMAGNETIC RELAY""","ELECTRICAL","34","6","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3870/CHENP/2008","23/07/2008","HEMOSTATIC MATERIAL","BIOCHEMISTRY","21","28","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3912/CHENP/2010","23/06/2010","PROCESS FOR PRODUCING METALLIC LEAD STARTING FROM DESULFURIZED PASTEL","METALLURGY","44","26","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3914/DELNP/2010","02/06/2010","CONTAINER FOR PURIFICATION OF WATER BY SUNLIGHT","MECHANICAL","24","12","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","392/KOLNP/2011","25/01/2011","HIGH STRENGTH COLD ROLLED STEEL SHEET EXCELLENT IN WELDABILITY AND METHOD FOR MANUFACTURING THE SAME","METALLURGY","23","4","19/04/2023"
"28/2017","14/07/2017","Chennai","ORDINARY APPLICATION","398/CHE/2005","08/04/2005","""SWITCHED RELUCTANCE MACHINE AND METHOD OF OPERATION THEREOF""","ELECTRICAL","39","14","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4/CHENP/2010","01/01/2010","OFDM CONTROL SIGNALING IN THE PRESENCE OF TIMING ASYNCHRONIZATION IN A PEER-TO-PEER NETWORK","ELECTRONICS","42","31","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4007/CHENP/2010","29/06/2010","FACILITATING DEFENSE AGAINST MAC TABLE OVERFLOW ATTACKS","ELECTRONICS","24","10","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4012/CHENP/2010","29/06/2010","SEMI-CONTINUOUS INTEGRATED PROCESS FOR THE PRODUCTION OF HIGH IMPACT VINYL AROMATIC (CO)POLYMERS BY ANIONIC/RADICALPOLYMERIZATION IN SEQUENCE","POLYMER","48","3","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4016/KOLNP/2009","19/11/2009","CUTTING TOOL","CHEMISTRY","24","27","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4035/KOLNP/2008","03/10/2008","DEVICE AND METHOD FOR STORING AND DISPENSING BANKNOTES","ELECTRONICS","16","9","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4099/CHENP/2008","05/08/2008","INKJET PRINTING SYSTEM WITH COMPLIANT PRINTHEAD ASSEMBLY","MECHANICAL","29","10","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4179/DELNP/2009","24/06/2009","“DIHYDRAZIDE COMPOUNDS, PREPARATION AND USES THEREOF”","CHEMISTRY","20","11","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4188/DELNP/2007","01/06/2007","""A METHOD FOR PREPARING AN EXTRACT OF PIPER LAETISIPICUM C.DC.""","BIOTECHNOLOGY","23","13","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","421/KOLNP/2008","30/01/2008","METHOD AND DEVICE FOR DEACTIVATING DEFECTIVE DOORS","MECHANICAL","11","6","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4216/KOLNP/2009","04/12/2009","HEAT RESISTANT FERRITIC STEEL","METALLURGY","24","4","19/04/2023"
"28/2017","14/07/2017","Delhi","ORDINARY APPLICATION","436/DEL/2010","26/02/2010","PROCESS FOR THE PREPARATION OF HYDROXYACETONE VIA GLYCEROL DEHYDRATION","CHEMISTRY","28","19","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4374/DELNP/2010","17/06/2010","“TRIGLYCERIDE MACROMONOMERS ”","CHEMISTRY","36","17","19/04/2023"
"28/2017","14/07/2017","Chennai","CONVENTION APPLICATION","438/CHE/2011","15/02/2011","TIRE VULCANIZER","MECHANICAL","35","7","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4515/DELNP/2007","13/06/2007","""A SHOE HAVING A SLIDING SURCACE FOR SLIDDING ON A AWASH PLATE""","MECHANICAL","29","8","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4584/CHENP/2010","21/07/2010","A PROCESS FOR THE PRODUCTION OF CYCLIC DIESTERS OF ALPHA-HYDROXYACIDS","CHEMISTRY","16","13","19/04/2023"
"28/2017","14/07/2017","Kolkata","CONVENTION APPLICATION","460/KOL/2006","16/05/2006","SURGICAL STAPLER HAVING AN ALUMINUM HEAD","BIOMEDICAL","29","10","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4644/CHENP/2009","07/08/2009","A DEVICE AND METHOD FOR BIT-INTERWEAVING","ELECTRONICS","30","12","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","486/KOLNP/2009","04/02/2009","FILTER COMPRESSOR AND METHOD FOR MANUFACTURING COMPRESSED SUBBAND FILTER IMPULSE RESPONSES","MECHANICAL","79","52","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4860/DELNP/2007","22/06/2007","""ORAL COMPOSITIONS CONTAINING OXIDIZED CAMELLIA""","BIOTECHNOLOGY","23","29","19/04/2023"
"28/2017","14/07/2017","Kolkata","CONVENTION APPLICATION","487/KOL/2007","27/03/2007","MEDICAL SNARING DEVICE","BIOMEDICAL","48","10","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4919/CHENP/2011","08/07/2011","POLYMERIC HAIR DYES","CHEMISTRY","35","19","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4973/CHENP/2007","05/11/2007","SIDE-PORTED FILAMENT WOUND PRESSURE VESSELS","MECHANICAL","24","19","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4991/KOLNP/2010","27/12/2010","CE(IV)-INITIATED GRAFT POLYMERISATION ON POLYMERS CONTAINING NO HYDROXYL GROUPS","CHEMISTRY","31","14","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5005/CHENP/2009","25/08/2009","METHOD AND APPARATUS FOR POLLING IN A WIRELESS COMMUNICATION SYSTEM","ELECTRONICS","38","70","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","5018/KOLNP/2008","10/12/2008","MULTILAYER NONWOVEN FABRIC AND PROCESS FOR PRODUCING THE SAME","TEXTILE","132","26","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5019/CHENP/2009","28/08/2009","METHOD AND APPARATUS FOR HANDOFF BETWEEN ACCESS SYSTEMS","ELECTRONICS","34","30","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5132/DELNP/2009","07/08/2009","""ELEVATOR SAFETY SYSTEM""","MECHANICAL","46","8","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5164/CHENP/2009","02/09/2009","""USING SCENARIO-RELATED INFORMATION TO CUSTOMIZE USER EXPERIENCES""","COMPUTER","25","20","19/04/2023"
"28/2017","14/07/2017","Chennai","CONVENTION APPLICATION","525/CHE/2007","14/03/2007","AIR BRAKE LINE","MECHANICAL","20","7","19/04/2023"
"28/2017","14/07/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","527/MUMNP/2010","17/03/2010","COMMUNICATION METHOD AND DEVICE","ELECTRONICS","13","14","19/04/2023"
"28/2017","14/07/2017","Delhi","ORDINARY APPLICATION","528/DEL/2008","05/03/2008","NOVEL-4&#946;-[(4-SUBSTITUTED)-1,2,3-TRIAZOL-1-YL]-PODOPHYLLOTOXINS AS POTENTIAL ANTICANCER AGENTS","CHEMISTRY","36","14","19/04/2023"
"28/2017","14/07/2017","Kolkata","ORDINARY APPLICATION","532/KOL/2010","14/05/2010","A PROCESS FOR MEASURING THE CONCENTRATION OF NANOFLUIDS BY ULTRASONIC TECHNIQUE","NA","14","10","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5356/CHENP/2009","11/09/2009","A CONFIGURABLE RANDOM ACCESS CHANNEL STRUCTURE FOR RANGE EXTENSION IN A WIRELESS COMMUNICATION SYSTEM","ELECTRONICS","38","18","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5441/DELNP/2008","23/06/2008","LINK ADAPTATION AND POWER CONTROL WITH CONSUMED ENERGY MINIMIZATION","ELECTRONICS","40","32","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5456/CHENP/2009","15/09/2009","DEVICE AND METHOD FOR TESTING INJECTION COMPONENTS","MECHANICAL","19","10","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5533/DELNP/2008","25/06/2008","""HYBRID VEHICLE AND METHOD OF ASSEMBLING SAME""","MECHANICAL","21","23","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5535/CHENP/2008","15/10/2008","RESPIRATION-GATED CARDIOGRAPHY","COMPUTER","21","21","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5578/DELNP/2008","26/06/2008","USE OF TYPE II PNEUMOCYTES IN THE TREATMENT OF PULMONARY DISEASES ASSOCIATED WITH PULMONARY FIBROSIS","BIOCHEMISTRY","28","14","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5585/CHENP/2007","05/12/2007","IL-31 MONOCLONAL ANTIBODIES AND METHODS OF USE","BIOTECHNOLOGY","128","34","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5606/DELNP/2010","06/08/2010","PROCESS OF PRODUCING A CLEANING COMPOSITION","NA","32","13","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5613/CHENP/2008","17/10/2008","A SYSTEM FOR PROVIDING A GRADIENT TO A NANO-FLOW CAPILLARY LIQUID CHROMATOGRAPHY DEVICE","CHEMISTRY","81","28","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5663/CHENP/2008","21/10/2008","SYSTEM AND METHOD FOR EMAIL NOTIFICATION OF UNANSWERED TELEPHONE CALLS","ELECTRONICS","29","10","19/04/2023"
"28/2017","14/07/2017","Delhi","CONVENTION APPLICATION","575/DEL/2009","24/03/2009","""METHOD FOR PRODUCING ETHANOL FROM STEAM EXPLODED SWEET POTATO BY FERMENTATION""","CHEMISTRY","13","8","19/04/2023"
"28/2017","14/07/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","575/MUMNP/2009","24/03/2009","“METHOD AND APPARATUS FOR MUTUAL AUTHENTICATION”","ELECTRONICS","22","25","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5849/CHENP/2008","28/10/2008","A GENERIC INTERFACE FOR DEEP EMBEDDING OF EXPRESSION TREES IN PROGRAMMING LANGUAGES","COMPUTER","40","20","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5891/DELNP/2011","02/08/2011","""APPARATUS AND PROCESS FOR TREATMENT FOR IMMISCIBLE LIQUIDS""","CHEMISTRY","22","18","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5975/CHENP/2009","09/10/2009","""SYSTEM AND METHOD FOR PROVIDING VOLTAGE SURGE AND OVERVOLTAGE PROTECTION TO AN ELECTRICAL LOAD""","ELECTRICAL","56","20","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5976/CHENP/2009","09/10/2009","SYSTEMS AND METHODS FOR CONFIGURING, APPLYING AND MANAGING OBJECT-ORIENTED POLICY EXPRESSIONS FOR A NETWORK DEVICE","ELECTRONICS","133","237","19/04/2023"
"28/2017","14/07/2017","Chennai","CONVENTION APPLICATION","607/CHE/2009","18/03/2009","COPOLYAMIDE POWDER AND ITS PREPARATION, USE OF COPOLYAMIDE POWDER IN A SHAPING PROCESS AND MOULDINGS PRODUCED FROM THIS COPOLYAMIDE POWDER","POLYMER","34","29","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6114/DELNP/2008","11/07/2008","GAS TURBINE BURNER AND METHOD OF MIXING FUEL AND AIR IN A SWIRLING AREA OF A GAS TURBINE BURNER","MECHANICAL","15","9","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6147/CHENP/2011","26/08/2011","“METHOD FOR INCREASING METHIONINE PRODUCTIVITY USING A MIXTURE OF METHYL MERCAPTAN AND DIMETHYL SULFIDE”","BIOCHEMISTRY","21","11","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6175/CHENP/2009","19/10/2009","PLUG/JACK SYSTEM HAVING PCB WITH LATTICE NETWORK","ELECTRICAL","47","6","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","629/KOLNP/2007","21/02/2007","MONITORING SYSTEM FOR CONCRETE PILINGS AND METHOD OF INSTALLATION","ELECTRONICS","61","27","19/04/2023"
"28/2017","14/07/2017","Delhi","PCT NATIONAL PHASE APPLICATION","631/DELNP/2010","28/01/2010","""SPARK-IGNITED INTERNAL COMBUSTION ENGINE""","MECHANICAL","33","9","19/04/2023"
"28/2017","14/07/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","639/KOLNP/2008","13/02/2008","PALLET AND LOADING ARTICLE FIXING METHOD USING SUCH PALLET","CIVIL","37","18","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6426/CHENP/2010","08/10/2010","A METHOD FOR PRODUCING AN AMIDE
COMPOUND","BIOCHEMISTRY","15","4","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6513/CHENP/2010","13/10/2010","STABILIZED LIQUID ENZYME COMPOSITIONS","CHEMISTRY","18","15","19/04/2023"
"28/2017","14/07/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","657/MUMNP/2008","07/04/2008","PROVISION OF A MOVE INDICATION TO RESOURCE REQUESTER","ELECTRONICS","75","26","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6701/CHENP/2010","20/10/2010","METHOD FOR PRODUCING MULTILAYER COATING FILM","CHEMISTRY","96","5","19/04/2023"
"28/2017","14/07/2017","Delhi","ORDINARY APPLICATION","671/DEL/2010","22/03/2010","IMPROVED PROCESS FOR THE PREPARATION OF BIVALIRUDIN","BIOTECHNOLOGY","38","11","19/04/2023"
"28/2017","14/07/2017","Kolkata","CONVENTION APPLICATION","673/KOL/2006","05/07/2006","DEVICE FOR HOOKING BETWEEN ELEMENTS OF A SHED FORMING DEVICE,METHOD FOR MANUFACTURING IT AND METHOD FOR HOOKING BY MEANS OF SUCH A DEVICE","TEXTILE","21","18","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6803/CHENP/2008","11/12/2008","METHOD FOR COORDINATED CONTROL OF RADIO RESOURCES FOR MULTICASTING IN A DISTRIBUTED WIRELESS SYSTEM","ELECTRONICS","18","10","19/04/2023"
"28/2017","14/07/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6810/CHENP/2010","22/10/2010","PROCESS FOR THE MANUFACTURE OF OLIGONUCLEOTIDES","CHEMISTRY","33","16","19/04/2023"
